Name,Event,Description,Current Type,Current Nurturing,Date
Glenn Watson,Attended Meeting,,Contributing  Member,Attended Meeting,14/12/2020 23:29
Mark Mcvay,Call,,Paying Member,,15/12/2020 09:11
Elizabeth Fass,Attended Meeting,,Team,,15/12/2020 15:04
Mary Fudge,Cancelled/No Show Meeting,,Lead,,15/12/2020 15:34
Christopher Fitzwater,Deal Created,,Paying Member,,15/12/2020 15:39
Nathaniel Healy,Attended Meeting,,Contributing  Member,Attended Meeting,15/12/2020 15:58
Christopher Fitzwater,Deal Closed,,Paying Member,,15/12/2020 16:10
Debra Matthes,Deal Created,,Lead,Engaged,15/12/2020 16:13
Katherine Green,Deal Updated,,Lead,Opportunity,15/12/2020 16:19
Blaine Haley,Lead Pipeline Update,Status: Qualified - Nurturing: Engaged - ;2020-12-10T20:34:55.000Z,Lead,Confirmed Meeting Attendee,15/12/2020 16:41
Clorinda Powell,Apply to Join Meeting,,Paying Member,Attended Meeting,15/12/2020 17:03
Jeff Hall,Lead Pipeline Update,Status: Qualified - Nurturing: ;2020-12-15T20:45:46.000Z,Paying Member,,15/12/2020 20:45
Jeff Hall,Deal Created,,Paying Member,,15/12/2020 20:46
Jeff Hall,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2020-12-15T20:46:01.000Z,Paying Member,,15/12/2020 20:46
Michael Hernandez,Deal Created,,Lead,Opportunity,15/12/2020 20:46
Michael Hernandez,Lead Pipeline Update,"Status: Qualified - Nurturing: Follow up calls, Opportunity;2020-12-15T20:46:25.000Z",Lead,Opportunity,15/12/2020 20:46
Sharon King,Deal Created,,Paying Member,,15/12/2020 20:46
Sharon King,Lead Pipeline Update,Status: Qualified - Nurturing: Opportunity;2020-12-15T20:46:34.000Z,Paying Member,,15/12/2020 20:46
Sharon King,Lead Pipeline Update,"Status: Qualified - Nurturing: Opportunity, Follow up calls;2020-12-15T20:46:41.000Z",Paying Member,,15/12/2020 20:46
Antonio Beu,Lead Pipeline Update,Status: Qualified - Nurturing: Closed Lost;2020-12-15T20:47:10.000Z,Trial Member,Not an opportunity,15/12/2020 20:47
